index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
45,辽宁省,Liaoning,盘锦市,盘锦,地级市,211100,Panjin,盘锦市,Panjin,41.12,122.0709,panjin,prefecture-panjin,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,沈阳,41.7325,123.5099,city_alias_fallback
46,辽宁省,Liaoning,铁岭市,铁岭,地级市,211200,Tieling,铁岭市,Tieling,42.2238,123.7259,tieling,prefecture-tieling,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,沈阳,41.7325,123.5099,city_alias_fallback
47,辽宁省,Liaoning,朝阳市,朝阳,地级市,211300,Chaoyang,朝阳市,"Chaoyang, Liaoning",41.5736,120.4494,chaoyang,prefecture-chaoyang,543240,CHN_LN_Chaoyang.543240_TMYx.2011-2025.zip,Chaoyang,41.5478,120.4292,direct
48,辽宁省,Liaoning,葫芦岛市,葫芦岛,地级市,211400,Huludao,葫芦岛市,Huludao,40.711,120.837,huludao,prefecture-huludao,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,沈阳,41.7325,123.5099,city_alias_fallback
49,吉林省,Jilin,长春市,长春,地级市,220100,Changchun,长春市,Changchun,43.88458056,125.31843056,changchun,prefecture-changchun,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,长春,43.901,125.209,direct
50,吉林省,Jilin,吉林市,吉林,地级市,220200,Jilin City,吉林市,Jilin City,43.836,126.55,jilin-city,prefecture-jilin-city,541720,CHN_JL_Jilin.541720_TMYx.zip,Jilin,43.85,126.55,direct
51,吉林省,Jilin,四平市,四平,地级市,220300,Siping,四平市,"Siping, Jilin",43.166,124.35,siping,prefecture-siping,541570,CHN_JL_Siping.541570_TMYx.2011-2025.zip,Siping,43.1203,124.3854,direct
52,吉林省,Jilin,辽源市,辽源,地级市,220400,Liaoyuan,辽源市,Liaoyuan,42.888,125.144,liaoyuan,prefecture-liaoyuan,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,长春,43.901,125.209,city_alias_fallback
53,吉林省,Jilin,通化市,通化,地级市,220500,Tonghua,通化市,Tonghua,41.728,125.94,tonghua,prefecture-tonghua,543630,CHN_JL_Tonghua.543630_TMYx.zip,Tonghua,41.717,125.917,direct
54,吉林省,Jilin,白山市,白山,地级市,220600,白山市,白山市,白山市,,,city-jilin,prefecture-city-jilin,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,长春,43.901,125.209,city_alias_fallback
55,吉林省,Jilin,松原市,松原,地级市,220700,松原市,松原市,松原市,,,city-jilin-2,prefecture-city-jilin-2,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,长春,43.901,125.209,city_alias_fallback
56,吉林省,Jilin,白城市,白城,地级市,220800,Baicheng,白城市,Baicheng,45.62,122.839,baicheng,prefecture-baicheng,509360,CHN_JL_Baicheng.509360_CSWD.zip,Baicheng,45.63333,122.8333,direct_quality_override
57,吉林省,Jilin,延边朝鲜族自治州,延边朝鲜族,自治州,222400,Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,42.891,129.509,yanbian-korean-autonomous-prefecture,prefecture-yanbian-korean-autonomous-prefecture,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,长春,43.901,125.209,province_capital_fallback
58,黑龙江省,Heilongjiang,哈尔滨市,哈尔滨,地级市,230100,Harbin,哈尔滨市,Harbin,45.80138889,126.52916667,harbin,prefecture-harbin,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,哈尔滨,45.934,126.581,direct
59,黑龙江省,Heilongjiang,齐齐哈尔市,齐齐哈尔,地级市,230200,Qiqihar,齐齐哈尔市,Qiqihar,47.3536,123.9185,qiqihar,prefecture-qiqihar,507450,CHN_HL_Qiqihar-Sanjiazi.507450_TMYx.2011-2025.zip,Qiqihar,47.3761,123.9236,direct
60,黑龙江省,Heilongjiang,鸡西市,鸡西,地级市,230300,Jixi,鸡西市,Jixi,45.2956,130.969,jixi,prefecture-jixi,509780,CHN_HL_Jixi.509780_TMYx.2011-2025.zip,Jixi,45.305,130.9089,direct
61,黑龙江省,Heilongjiang,鹤岗市,鹤岗,地级市,230400,Hegang,鹤岗市,Hegang,47.35,130.298,hegang,prefecture-hegang,507750,CHN_HL_Hegang.507750_TMYx.zip,Hegang,47.3483,130.3045,direct
62,黑龙江省,Heilongjiang,双鸭山市,双鸭山,地级市,230500,Shuangyashan,双鸭山市,Shuangyashan,46.646,131.1586,shuangyashan,prefecture-shuangyashan,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,哈尔滨,45.934,126.581,city_alias_fallback
63,黑龙江省,Heilongjiang,大庆市,大庆,地级市,230600,Daqing,大庆市,Daqing,46.589,125.104,daqing,prefecture-daqing,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,哈尔滨,45.934,126.581,city_alias_fallback
64,黑龙江省,Heilongjiang,伊春市,伊春,地级市,230700,Yichun,伊春市,"Yichun, Heilongjiang",47.7276,128.8406,yichun-heilongjiang,prefecture-yichun-heilongjiang,507740,CHN_HL_Yichun.507740_TMYx.2011-2025.zip,Yichun,47.7081,128.8358,direct
65,黑龙江省,Heilongjiang,佳木斯市,佳木斯,地级市,230800,Jiamusi,佳木斯市,Jiamusi,46.8,130.318,jiamusi,prefecture-jiamusi,508730,CHN_HL_Jiamusi.508730_CSWD.zip,Jiamusi,46.81667,130.2833,direct
66,黑龙江省,Heilongjiang,七台河市,七台河,地级市,230900,Qitaihe,七台河市,Qitaihe,45.772,131.0017,qitaihe,prefecture-qitaihe,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,哈尔滨,45.934,126.581,city_alias_fallback
67,黑龙江省,Heilongjiang,牡丹江市,牡丹江,地级市,231000,Mudanjiang,牡丹江市,Mudanjiang,44.552,129.633,mudanjiang,prefecture-mudanjiang,540940,CHN_HL_Mudanjiang.540940_TMYx.2011-2025.zip,Mudanjiang,44.5039,129.6683,direct
68,黑龙江省,Heilongjiang,黑河市,黑河,地级市,231100,Heihe,黑河市,Heihe,50.245,127.528,heihe,prefecture-heihe,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,哈尔滨,45.934,126.581,city_alias_fallback
69,黑龙江省,Heilongjiang,绥化市,绥化,地级市,231200,Suihua,绥化市,Suihua,46.654,126.969,suihua,prefecture-suihua,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,哈尔滨,45.934,126.581,city_alias_fallback
70,黑龙江省,Heilongjiang,大兴安岭地区,大兴安岭,地区,232700,Daxing'anling Prefecture,大兴安岭地区,Daxing'anling Prefecture,,,daxinganling-prefecture,prefecture-daxinganling-prefecture,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,哈尔滨,45.934,126.581,province_capital_fallback
71,江苏省,Jiangsu,南京市,南京,地级市,320100,Nanjing,南京市,Nanjing,32.04388889,118.77861111,nanjing,prefecture-nanjing,582380,CHN_JS_Nanjing.582380_TMYx.2011-2025.zip,南京,31.9316,118.8996,direct
72,江苏省,Jiangsu,无锡市,无锡,地级市,320200,Wuxi,无锡市,Wuxi,31.49,120.313,wuxi,prefecture-wuxi,583580,CHN_JS_Suzhou.583580_TMYx.zip,苏州,31.267,120.617,city_alias_fallback
73,江苏省,Jiangsu,徐州市,徐州,地级市,320300,Xuzhou,徐州市,Xuzhou,34.205,117.283,xuzhou,prefecture-xuzhou,580270,CHN_JS_Xuzhou.580270_TMYx.2011-2025.zip,徐州,34.2871,117.1587,direct
74,江苏省,Jiangsu,常州市,常州,地级市,320400,Changzhou,常州市,Changzhou,31.81,119.976,changzhou,prefecture-changzhou,583430,CHN_JS_Changzhou.583430_TMYx.zip,杭州,31.767,119.95,direct
