catalog_id,division_code,province_zh,city_zh,lat,lon,coordinate_source,geocoder_display_name
prefecture-huanggang,421100,湖北省,黄冈市,30.4537,114.8722,catalog,
prefecture-xianning,421200,湖北省,咸宁市,29.8437545,114.3169418,OpenStreetMap Nominatim,"咸宁市, 湖北省, 437300, 中国"
prefecture-suizhou,421300,湖北省,随州市,31.6901,113.3825,catalog,
prefecture-enshi-tujia-and-miao-autonomous-prefecture,422800,湖北省,恩施土家族苗族自治州,30.272,109.488,catalog,
prefecture-changsha,430100,湖南省,长沙市,28.1450774,113.2384362,OpenStreetMap Nominatim,"长沙市, 湖南省, 中国"
prefecture-zhuzhou,430200,湖南省,株洲市,27.828,113.134,catalog,
prefecture-xiangtan,430300,湖南省,湘潭市,27.83,112.944,catalog,
prefecture-hengyang,430400,湖南省,衡阳市,26.893,112.572,catalog,
prefecture-shaoyang,430500,湖南省,邵阳市,27.239,111.4675,catalog,
prefecture-yueyang,430600,湖南省,岳阳市,29.3567,113.1289,catalog,
prefecture-changde,430700,湖南省,常德市,29.0317,111.6987,catalog,
prefecture-zhangjiajie,430800,湖南省,张家界市,29.117,110.479,catalog,
prefecture-yiyang,430900,湖南省,益阳市,28.554,112.355,catalog,
prefecture-chenzhou,431000,湖南省,郴州市,25.77,113.0161,catalog,
prefecture-yongzhou,431100,湖南省,永州市,26.42,111.613,catalog,
prefecture-huaihua,431200,湖南省,怀化市,27.5695,110.0017,catalog,
prefecture-loudi,431300,湖南省,娄底市,27.7,111.993,catalog,
prefecture-xiangxi-tujia-and-miao-autonomous-prefecture,433100,湖南省,湘西土家族苗族自治州,28.312,109.739,catalog,
prefecture-guangzhou,440100,广东省,广州市,23.11666667,113.25,catalog,
prefecture-shaoguan,440200,广东省,韶关市,24.8108,113.5966,catalog,
prefecture-shenzhen,440300,广东省,深圳市,22.62,114.07,catalog,
prefecture-zhuhai,440400,广东省,珠海市,22.2711,113.577,catalog,
prefecture-shantou,440500,广东省,汕头市,23.354,116.6821,catalog,
prefecture-foshan,440600,广东省,佛山市,23.022,113.1207,catalog,
prefecture-jiangmen,440700,广东省,江门市,22.59777778,113.09083333,catalog,
prefecture-zhanjiang,440800,广东省,湛江市,21.2719,110.3604,catalog,
prefecture-maoming,440900,广东省,茂名市,21.6627,110.9259,catalog,
prefecture-zhaoqing,441200,广东省,肇庆市,23.047,112.465,catalog,
prefecture-huizhou,441300,广东省,惠州市,23.112,114.415,catalog,
prefecture-meizhou,441400,广东省,梅州市,24.289,116.122,catalog,
prefecture-shanwei,441500,广东省,汕尾市,22.786,115.375,catalog,
prefecture-heyuan,441600,广东省,河源市,23.7437,114.7007,catalog,
prefecture-yangjiang,441700,广东省,阳江市,21.8584,111.9816,catalog,
prefecture-qingyuan,441800,广东省,清远市,23.682,113.056,catalog,
prefecture-dongguan,441900,广东省,东莞市,23.021,113.7517,catalog,
prefecture-zhongshan,442000,广东省,中山市,22.51666667,113.38333333,catalog,
prefecture-chaozhou,445100,广东省,潮州市,23.66666667,116.63333333,catalog,
prefecture-jieyang,445200,广东省,揭阳市,23.5487,116.3723,catalog,
prefecture-yunfu,445300,广东省,云浮市,22.9155,112.0447,catalog,
prefecture-nanning,450100,广西壮族自治区,南宁市,22.8161,108.3664,catalog,
prefecture-liuzhou,450200,广西壮族自治区,柳州市,24.3262,109.4284,catalog,
prefecture-guilin,450300,广西壮族自治区,桂林市,25.2344,110.1799,catalog,
prefecture-wuzhou,450400,广西壮族自治区,梧州市,23.4771,111.2788,catalog,
prefecture-beihai,450500,广西壮族自治区,北海市,21.4811,109.1205,catalog,
prefecture-fangchenggang,450600,广西壮族自治区,防城港市,21.6868,108.3538,catalog,
prefecture-qinzhou,450700,广西壮族自治区,钦州市,21.98,108.654,catalog,
prefecture-guigang,450800,广西壮族自治区,贵港市,23.1115,109.5987,catalog,
prefecture-yulin-guangxi,450900,广西壮族自治区,玉林市,22.654,110.1811,catalog,
prefecture-baise,451000,广西壮族自治区,百色市,23.9025,106.6182,catalog,
prefecture-hezhou,451100,广西壮族自治区,贺州市,24.3705146,111.3590955,OpenStreetMap Nominatim,"贺州市, 广西壮族自治区, 542600, 中国"
prefecture-hechi,451200,广西壮族自治区,河池市,24.6929,108.0852,catalog,
prefecture-laibin,451300,广西壮族自治区,来宾市,23.7503,109.2213,catalog,
prefecture-chongzuo,451400,广西壮族自治区,崇左市,22.3772,107.3651,catalog,
prefecture-haikou,460100,海南省,海口市,20.05,110.16666667,catalog,
prefecture-sanya,460200,海南省,三亚市,18.2527,109.5111,catalog,
prefecture-sansha,460300,海南省,三沙市,16.83416667,112.3375,catalog,
prefecture-danzhou,460400,海南省,儋州市,19.521,109.581,catalog,
prefecture-chengdu,510100,四川省,成都市,30.65833333,104.06444444,catalog,
prefecture-zigong,510300,四川省,自贡市,29.3386,104.7778,catalog,
prefecture-panzhihua,510400,四川省,攀枝花市,26.5817,101.7183,catalog,
prefecture-luzhou,510500,四川省,泸州市,28.8712,105.4409,catalog,
prefecture-deyang,510600,四川省,德阳市,31.1271,104.3976,catalog,
prefecture-mianyang,510700,四川省,绵阳市,31.467,104.6779,catalog,
prefecture-guangyuan,510800,四川省,广元市,32.4354,105.843,catalog,
prefecture-suining,510900,四川省,遂宁市,30.5333,105.5923,catalog,
prefecture-neijiang,511000,四川省,内江市,29.5801,105.0581,catalog,
prefecture-leshan,511100,四川省,乐山市,29.55194444,103.76555556,catalog,
prefecture-nanchong,511300,四川省,南充市,30.8377,106.1087,catalog,
prefecture-meishan,511400,四川省,眉山市,30.0768,103.8479,catalog,
prefecture-yibin,511500,四川省,宜宾市,28.7522,104.6423,catalog,
prefecture-guangan,511600,四川省,广安市,30.4553,106.633,catalog,
prefecture-dazhou,511700,四川省,达州市,31.2088,107.4676,catalog,
prefecture-yaan,511800,四川省,雅安市,29.9805,103.0128,catalog,
prefecture-bazhong,511900,四川省,巴中市,31.868,106.7473,catalog,
prefecture-ziyang,512000,四川省,资阳市,30.1289,104.6278,catalog,
prefecture-ngawa-tibetan-and-qiang-autonomous-prefecture,513200,四川省,阿坝藏族羌族自治州,31.8994,102.2247,catalog,
prefecture-garze-tibetan-autonomous-prefecture,513300,四川省,甘孜藏族自治州,30.0495,101.9624,catalog,
prefecture-liangshan-yi-autonomous-prefecture,513400,四川省,凉山彝族自治州,27.8817,102.2676,catalog,
prefecture-guiyang,520100,贵州省,贵阳市,26.57305556,106.70611111,catalog,
prefecture-liupanshui,520200,贵州省,六盘水市,26.5925,104.8303,catalog,
