index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug
98,安徽省,Anhui,淮南市,淮南,地级市,340400,Huainan,淮南市,Huainan,32.625,117.0,huainan
99,安徽省,Anhui,马鞍山市,马鞍山,地级市,340500,Ma'anshan,马鞍山市,Ma'anshan,31.67,118.506,maanshan
100,安徽省,Anhui,淮北市,淮北,地级市,340600,Huaibei,淮北市,Huaibei,33.9565,116.7977,huaibei
101,安徽省,Anhui,铜陵市,铜陵,地级市,340700,Tongling,铜陵市,Tongling,30.9455,117.8115,tongling
102,安徽省,Anhui,安庆市,安庆,地级市,340800,Anqing,安庆市,Anqing,30.532,117.115,anqing
103,安徽省,Anhui,黄山市,黄山,地级市,341000,Huangshan City,黄山市,Huangshan City,29.7148,118.3375,huangshan-city
104,安徽省,Anhui,滁州市,滁州,地级市,341100,Chuzhou,滁州市,Chuzhou,32.2535,118.3283,chuzhou
105,安徽省,Anhui,阜阳市,阜阳,地级市,341200,Fuyang,阜阳市,Fuyang,32.889,115.814,fuyang
106,安徽省,Anhui,宿州市,宿州,地级市,341300,Suzhou,宿州市,"Suzhou, Anhui",33.6464,116.9639,suzhou-anhui
107,安徽省,Anhui,六安市,六安,地级市,341500,Lu'an,六安市,Lu'an,31.7344,116.5214,luan
108,安徽省,Anhui,亳州市,亳州,地级市,341600,Bozhou,亳州市,Bozhou,33.845,115.778,bozhou
109,安徽省,Anhui,池州市,池州,地级市,341700,Chizhou,池州市,Chizhou,30.676533,117.494118,chizhou
110,安徽省,Anhui,宣城市,宣城,地级市,341800,Xuancheng,宣城市,Xuancheng,30.94,118.758,xuancheng
111,福建省,Fujian,福州市,福州,地级市,350100,Fuzhou,福州市,Fuzhou,26.15,119.28333333,fuzhou-fujian
112,福建省,Fujian,厦门市,厦门,地级市,350200,Xiamen,厦门市,Xiamen,,,xiamen
113,福建省,Fujian,莆田市,莆田,地级市,350300,Putian,莆田市,Putian,25.453,119.008,putian
114,福建省,Fujian,三明市,三明,地级市,350400,Sanming,三明市,Sanming,26.263,117.639,sanming
115,福建省,Fujian,泉州市,泉州,地级市,350500,Quanzhou,泉州市,Quanzhou,24.8741,118.6757,quanzhou
116,福建省,Fujian,漳州市,漳州,地级市,350600,Zhangzhou,漳州市,Zhangzhou,24.513,117.6464,zhangzhou
117,福建省,Fujian,南平市,南平,地级市,350700,Nanping,南平市,Nanping,26.6415,118.1779,nanping
118,福建省,Fujian,龙岩市,龙岩,地级市,350800,Longyan,龙岩市,Longyan,25.0757,117.0174,longyan
119,福建省,Fujian,宁德市,宁德,地级市,350900,Ningde,宁德市,Ningde,26.6657,119.5481,ningde
120,江西省,Jiangxi,南昌市,南昌,地级市,360100,Nanchang,南昌市,Nanchang,,,nanchang
121,江西省,Jiangxi,景德镇市,景德镇,地级市,360200,Jingdezhen,景德镇市,Jingdezhen,29.269,117.178,jingdezhen
122,江西省,Jiangxi,萍乡市,萍乡,地级市,360300,Pingxiang,萍乡市,Pingxiang,27.623,113.8545,pingxiang
123,江西省,Jiangxi,九江市,九江,地级市,360400,Jiujiang,九江市,Jiujiang,29.7054,116.0026,jiujiang
124,江西省,Jiangxi,新余市,新余,地级市,360500,Xinyu,新余市,Xinyu,27.8176,114.917,xinyu
125,江西省,Jiangxi,鹰潭市,鹰潭,地级市,360600,Yingtan,鹰潭市,Yingtan,28.2597,117.0686,yingtan
126,江西省,Jiangxi,赣州市,赣州,地级市,360700,Ganzhou,赣州市,Ganzhou,25.8306,114.9328,ganzhou
127,江西省,Jiangxi,吉安市,吉安,地级市,360800,Ji'an,吉安市,Ji'an,27.0875,114.9645,jian
128,江西省,Jiangxi,宜春市,宜春,地级市,360900,Yichun,宜春市,"Yichun, Jiangxi",27.8158,114.4166,yichun-jiangxi
129,江西省,Jiangxi,抚州市,抚州,地级市,361000,Fuzhou,抚州市,"Fuzhou, Jiangxi",27.9494,116.3582,fuzhou-jiangxi
130,江西省,Jiangxi,上饶市,上饶,地级市,361100,Shangrao,上饶市,Shangrao,28.455,117.943,shangrao
131,山东省,Shandong,济南市,济南,地级市,370100,Jinan,济南市,Jinan,36.63333333,117.01666667,jinan
132,山东省,Shandong,青岛市,青岛,地级市,370200,Qingdao,青岛市,Qingdao,36.08333333,120.33333333,qingdao
133,山东省,Shandong,淄博市,淄博,地级市,370300,Zibo,淄博市,Zibo,36.8133,118.0551,zibo
134,山东省,Shandong,枣庄市,枣庄,地级市,370400,Zaozhuang,枣庄市,Zaozhuang,34.8103,117.3235,zaozhuang
135,山东省,Shandong,东营市,东营,地级市,370500,Dongying,东营市,Dongying,37.4334,118.6744,dongying
136,山东省,Shandong,烟台市,烟台,地级市,370600,Yantai,烟台市,Yantai,37.4644,121.4478,yantai
137,山东省,Shandong,潍坊市,潍坊,地级市,370700,Weifang,潍坊市,Weifang,36.7065,119.1622,weifang
138,山东省,Shandong,济宁市,济宁,地级市,370800,Jining,济宁市,Jining,35.415,116.587,jining
139,山东省,Shandong,泰安市,泰安,地级市,370900,Tai'an,泰安市,Tai'an,36.2,117.088,taian
140,山东省,Shandong,威海市,威海,地级市,371000,Weihai,威海市,Weihai,37.5125,122.1152,weihai
141,山东省,Shandong,日照市,日照,地级市,371100,Rizhao,日照市,Rizhao,35.4154,119.5267,rizhao
142,山东省,Shandong,临沂市,临沂,地级市,371300,Linyi,临沂市,Linyi,35.104,118.3556,linyi
143,山东省,Shandong,德州市,德州,地级市,371400,Dezhou,德州市,Dezhou,37.4338,116.3572,dezhou
144,山东省,Shandong,聊城市,聊城,地级市,371500,Liaocheng,聊城市,Liaocheng,36.4571,115.9863,liaocheng
145,山东省,Shandong,滨州市,滨州,地级市,371600,Binzhou,滨州市,Binzhou,37.381,117.971,binzhou
146,山东省,Shandong,菏泽市,菏泽,地级市,371700,Heze,菏泽市,Heze,35.2328,115.4822,heze
147,河南省,Henan,郑州市,郑州,地级市,410100,Zhengzhou,郑州市,Zhengzhou,34.75,113.63333333,zhengzhou
148,河南省,Henan,开封市,开封,地级市,410200,Kaifeng,开封市,Kaifeng,34.7975,114.3079,kaifeng
149,河南省,Henan,洛阳市,洛阳,地级市,410300,Luoyang,洛阳市,Luoyang,34.6195,112.4543,luoyang
150,河南省,Henan,平顶山市,平顶山,地级市,410400,Pingdingshan,平顶山市,Pingdingshan,33.7664,113.1916,pingdingshan
151,河南省,Henan,安阳市,安阳,地级市,410500,Anyang,安阳市,Anyang,36.0973,114.3922,anyang
152,河南省,Henan,鹤壁市,鹤壁,地级市,410600,Hebi,鹤壁市,Hebi,35.7481,114.2964,hebi
153,河南省,Henan,新乡市,新乡,地级市,410700,Xinxiang,新乡市,Xinxiang,35.303,113.926,xinxiang
154,河南省,Henan,焦作市,焦作,地级市,410800,Jiaozuo,焦作市,Jiaozuo,35.2158,113.2421,jiaozuo
155,河南省,Henan,濮阳市,濮阳,地级市,410900,Puyang,濮阳市,Puyang,35.762,115.028,puyang
156,河南省,Henan,许昌市,许昌,地级市,411000,Xuchang,许昌市,Xuchang,34.036,113.852,xuchang
157,河南省,Henan,漯河市,漯河,地级市,411100,Luohe,漯河市,Luohe,33.58,114.016,luohe
158,河南省,Henan,三门峡市,三门峡,地级市,411200,Sanmenxia,三门峡市,Sanmenxia,34.773,111.2,sanmenxia
159,河南省,Henan,南阳市,南阳,地级市,411300,Nanyang,南阳市,"Nanyang, Henan",32.9897,112.5282,nanyang
160,河南省,Henan,商丘市,商丘,地级市,411400,Shangqiu,商丘市,Shangqiu,34.4146,115.6558,shangqiu
161,河南省,Henan,信阳市,信阳,地级市,411500,Xinyang,信阳市,Xinyang,32.1472,114.0903,xinyang
162,河南省,Henan,周口市,周口,地级市,411600,Zhoukou,周口市,Zhoukou,33.6263,114.6968,zhoukou
163,河南省,Henan,驻马店市,驻马店,地级市,411700,Zhumadian,驻马店市,Zhumadian,33.0108,114.0216,zhumadian
164,湖北省,Hubei,武汉市,武汉,地级市,420100,Wuhan,武汉市,Wuhan,30.58333333,114.31666667,wuhan
165,湖北省,Hubei,黄石市,黄石,地级市,420200,Huangshi,黄石市,Huangshi,30.2,115.039,huangshi
166,湖北省,Hubei,十堰市,十堰,地级市,420300,Shiyan,十堰市,Shiyan,32.6295,110.7983,shiyan
167,湖北省,Hubei,宜昌市,宜昌,地级市,420500,Yichang,宜昌市,Yichang,30.70444444,111.28861111,yichang
168,湖北省,Hubei,襄阳市,襄阳,地级市,420600,Xiangyang,襄阳市,Xiangyang,32.009,112.123,xiangyang
