index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
34,内蒙古自治区,Inner Mongolia,阿拉善盟,阿拉善,盟,152900,阿拉善,阿拉善盟,,38.852,105.728,city-inner-mongolia-10,prefecture-city-inner-mongolia-10,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,province_capital_fallback
35,辽宁省,Liaoning,沈阳市,沈阳,地级市,210100,Shenyang,沈阳市,Shenyang,41.79555556,123.44805556,shenyang,prefecture-shenyang,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,direct
36,辽宁省,Liaoning,大连市,大连,地级市,210200,Dalian,大连市,Dalian,38.92083333,121.63916667,dalian,prefecture-dalian,546620,CHN_LN_Dalian.546620_CSWD.zip,Dalian-Zhoushuizi.Intl.AP,38.908,121.66,direct
37,辽宁省,Liaoning,鞍山市,鞍山,地级市,210300,Anshan,鞍山市,Anshan,41.1083,122.9933,anshan,prefecture-anshan,543390,CHN_LN_Anshan.543390_TMYx.zip,Anshan,41.133,122.983,direct
38,辽宁省,Liaoning,抚顺市,抚顺,地级市,210400,Fushun,抚顺市,Fushun,41.8806,123.957,fushun,prefecture-fushun,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
39,辽宁省,Liaoning,本溪市,本溪,地级市,210500,本溪,本溪市,,41.2942,123.7655,city-liaoning,prefecture-city-liaoning,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
40,辽宁省,Liaoning,丹东市,丹东,地级市,210600,丹东,丹东市,,40.0005,124.3539,city-liaoning-2,prefecture-city-liaoning-2,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
41,辽宁省,Liaoning,锦州市,锦州,地级市,210700,锦州,锦州市,,41.0957,121.1264,city-liaoning-3,prefecture-city-liaoning-3,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
42,辽宁省,Liaoning,营口市,营口,地级市,210800,营口,营口市,,40.6679,122.2344,city-liaoning-4,prefecture-city-liaoning-4,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
43,辽宁省,Liaoning,阜新市,阜新,地级市,210900,阜新,阜新市,,42.0216,121.6696,city-liaoning-5,prefecture-city-liaoning-5,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
44,辽宁省,Liaoning,辽阳市,辽阳,地级市,211000,辽阳,辽阳市,,41.2673,123.237,city-liaoning-6,prefecture-city-liaoning-6,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
45,辽宁省,Liaoning,盘锦市,盘锦,地级市,211100,盘锦,盘锦市,,41.12,122.0709,city-liaoning-7,prefecture-city-liaoning-7,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
46,辽宁省,Liaoning,铁岭市,铁岭,地级市,211200,铁岭,铁岭市,,42.2238,123.7259,city-liaoning-8,prefecture-city-liaoning-8,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
